,Time,EGF,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
7363,736.3,0.037119522895130125,0.009172082160591241,0.42478704751144314,1.1412061127307103,1.6187347549179314,1.673009980373365,42.15151928592008,1062.6661933706714,0.660241933375757,25.54265361561551,988.1639406733948,1.048204765642964,0.00026492880862222733,0.5251222158377491
7364,736.4,0.03711878669483509,0.009172029874649875,0.42484157091756586,1.1411193264525168,1.6188213779875096,1.6728334156425249,42.149345751783095,1062.668542457615,0.6602390573030109,25.54259871649717,988.1639973996046,1.0481684708038788,0.00026491812564290016,0.5251039135923231
7365,736.5,0.03711805085504745,0.009171977580682753,0.424896091145839,1.1410325584124088,1.618907982840416,1.6726569157793802,42.14717289777058,1062.6708907998761,0.6602361821604732,25.542543835014317,988.1640541075817,1.048132179384119,0.0002649074434119826,0.5250856111223905
7366,736.6,0.03711731537550462,0.009171925278702801,0.42495060819625535,1.1409458086046302,1.6189945694824077,1.6724804807439304,42.14500072352967,1062.673238397847,0.660233307947641,25.54248897115749,988.1641107973359,1.048095891382235,0.00026489676192955626,0.5250673084294025
7367,736.7,0.037116580255944005,0.00917187296872294,0.42500512206880786,1.1408590770234253,1.6190811379192416,1.6723041104961753,42.142829228707534,1062.6755852519202,0.6602304346640114,25.54243412491724,988.1641674688769,1.0480596067967762,0.0002648860811957031,0.5250490055148106
7368,736.8,0.037115845496103014,0.00917182065075609,0.4250596327634893,1.1407723636630374,1.6191676881566743,1.6721278049961144,42.14065841295133,1062.6779313624884,0.6602275623090818,25.542379296284107,988.1642241222148,1.0480233256262936,0.00026487540121050435,0.525030702380066
7369,736.9,0.03711511109571904,0.009171768324815173,0.42511414028029265,1.14068566851771,1.6192542202004634,1.671951564203746,42.138488275908195,1062.6802767299446,0.6602246908823488,25.542324485248642,988.1642807573592,1.0479870478693372,0.00026486472197404204,0.5250123990266197
7370,737.0,0.03711437705452951,0.009171715990913107,0.42516864461921056,1.1405989915816876,1.6193407340563655,1.67177538807907,42.1363188172253,1062.6826213546813,0.6602218203833097,25.54226969180139,988.1643373743198,1.0479507735244564,0.00026485404348639756,0.5249940954559235
7371,737.1,0.03711364337227182,0.009171663649062816,0.42522314578023607,1.1405123328492135,1.6194272297301373,1.671599276582086,42.13415003654979,1062.6849652370909,0.6602189508114615,25.54221491593289,988.1643939731064,1.0479145025902026,0.00026484336574765266,0.5249757916694282
7372,737.2,0.03711291004868336,0.00917161129927722,0.42527764376336186,1.1404256923145313,1.619513707227536,1.6714232296727938,42.13198193352882,1062.6873083775665,0.6602160821663016,25.5421601576337,988.1644505537289,1.0478782350651252,0.000264832688757889,0.5249574876685855
7373,737.3,0.03711217708350157,0.00917155894156924,0.4253321385685809,1.1403390699718858,1.6196001665543187,1.6712472473111921,42.12981450780955,1062.6896507765005,0.6602132144473268,25.542105416894355,988.164507116197,1.0478419709477744,0.0002648220125171882,0.5249391834548466
