,Time,RasGDP,GAP,RasGTP,Ras_Raf
232,0.232,19999.997881098272,14999.999887747685,0.00019178558638154318,0.0018148638277232121
233,0.233,19999.997888780443,14999.99988796001,0.00018973207877505388,0.0018094474893153986
234,0.234,19999.997896314315,14999.999888159848,0.0001877982225151504,0.0018040473139110122
235,0.235,19999.997903708583,14999.99988834801,0.00018597617669817307,0.0017986632534083826
236,0.236,19999.99791097138,14999.999888525266,0.00018425862691957484,0.0017932952598402015
237,0.237,19999.997918110286,14999.999888692324,0.00018263875493970328,0.0017879432853736515
238,0.238,19999.997925132415,14999.999888849856,0.00018111015949482501,0.001782607282311403
239,0.239,19999.997932044378,14999.99988899848,0.00017966690174244456,0.0017772872030903926
240,0.24,19999.997938852393,14999.999889138782,0.00017830338756150978,0.0017719830002835037
241,0.241,19999.997945562238,14999.999889271301,0.0001770144377601713,0.0017666946265979097
242,0.242,19999.997952179343,14999.999889396548,0.0001757951726196327,0.00176142203487671
243,0.243,19999.997958708762,14999.999889514998,0.00017464105931807648,0.0017561651780976836
244,0.244,19999.997965155224,14999.99988962709,0.00017354785528191313,0.0017509240093738793
245,0.245,19999.99797152317,14999.999889733243,0.00017251159066020957,0.0017456984819535209
246,0.246,19999.997977816718,14999.999889833838,0.00017152857338647193,0.0017404885492195116
247,0.247,19999.997984039746,14999.99988992924,0.00017059533367697036,0.0017352941646900026
248,0.248,19999.99799019583,14999.999890019784,0.00016970867416844684,0.001730115282017122
249,0.249,19999.99799628835,14999.999890105784,0.00016886557996514018,0.00172495185498813
250,0.25,19999.998002320455,14999.999890187533,0.0001680632417693869,0.0017198038375246217
251,0.251,19999.998008295093,14999.999890265308,0.0001672990301008941,0.001714671183682571
252,0.252,19999.998014215038,14999.999890339363,0.00016657047676079694,0.0017095538476522606
253,0.253,19999.998020082898,14999.999890409941,0.00016587525927581193,0.001704451783758144
254,0.254,19999.998025901143,14999.999890477273,0.00016521118433355614,0.001699364946458727
255,0.255,19999.998031672116,14999.999890541574,0.00016457616943058655,0.0016942932903464957
256,0.256,19999.998037397854,14999.999890603034,0.00016396841244394248,0.0016892367701446054
257,0.257,19999.998043080235,14999.99989066183,0.0001633862519586588,0.0016841953407088829
258,0.258,19999.998048721238,14999.999890718138,0.00016282794275128003,0.0016791689570312758
259,0.259,19999.99805432263,14999.999890772124,0.00016229191902288344,0.0016741575742349449
260,0.26,19999.998059885977,14999.999890823934,0.00016177680685986682,0.001669161147573714
