environment | time (minute),GAP | GAP (dimensionless) | Run #1,GAP | GAP (dimensionless) | Run #2,GAP | GAP' (dimensionless/minute) | Run #1,GAP | GAP' (dimensionless/minute) | Run #2,Ras_GAP | Ras_GAP (dimensionless) | Run #1,Ras_GAP | Ras_GAP (dimensionless) | Run #2,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #1,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #2,Ras_Raf | Ras_Raf (dimensionless) | Run #1,Ras_Raf | Ras_Raf (dimensionless) | Run #2,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #1,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #2,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #1,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #2,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #1,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #2,RasGDP | RasGDP (dimensionless) | Run #1,RasGDP | RasGDP (dimensionless) | Run #2,RasGDP | RasGDP' (dimensionless/minute) | Run #1,RasGDP | RasGDP' (dimensionless/minute) | Run #2,RasGTP | RasGTP (dimensionless) | Run #1,RasGTP | RasGTP (dimensionless) | Run #2,RasGTP | RasGTP' (dimensionless/minute) | Run #1,RasGTP | RasGTP' (dimensionless/minute) | Run #2,ShcGS | ShcGS (dimensionless) | Run #1,ShcGS | ShcGS (dimensionless) | Run #2,ShcGS | ShcGS' (dimensionless/minute) | Run #1,ShcGS | ShcGS' (dimensionless/minute) | Run #2,v12 | k12 (first_order_rate_constant) | Run #1,v12 | k12 (first_order_rate_constant) | Run #2,v12 | kn12 (first_order_rate_constant) | Run #1,v12 | kn12 (first_order_rate_constant) | Run #2,v12 | v12 (first_order_rate_constant) | Run #1,v12 | v12 (first_order_rate_constant) | Run #2,v13 | k_13 (first_order_rate_constant) | Run #1,v13 | k_13 (first_order_rate_constant) | Run #2,v13 | v13 (first_order_rate_constant) | Run #1,v13 | v13 (first_order_rate_constant) | Run #2,v14 | k14 (first_order_rate_constant) | Run #1,v14 | k14 (first_order_rate_constant) | Run #2,v14 | kn14 (first_order_rate_constant) | Run #1,v14 | kn14 (first_order_rate_constant) | Run #2,v14 | v14 (first_order_rate_constant) | Run #1,v14 | v14 (first_order_rate_constant) | Run #2,v15 | k15 (first_order_rate_constant) | Run #1,v15 | k15 (first_order_rate_constant) | Run #2,v15 | v15 (first_order_rate_constant) | Run #1,v15 | v15 (first_order_rate_constant) | Run #2,v16 | k16 (first_order_rate_constant) | Run #1,v16 | k16 (first_order_rate_constant) | Run #2,v16 | kn16 (first_order_rate_constant) | Run #1,v16 | kn16 (first_order_rate_constant) | Run #2,v16 | v16 (first_order_rate_constant) | Run #1,v16 | v16 (first_order_rate_constant) | Run #2
0.02,14994.7,14994.7,363.364,363.364,5.29524,5.29524,-363.364,-363.364,0.0024976,0.0024976,0.0527993,0.0527993,0,0,0,0,19944.5,19944.5,3812.58,3812.58,50.2434,50.2434,-3449.26,-3449.26,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,3449.21,3449.21,720,720,3812.58,3812.58,0.0012,0.0012,3,3,0.0527993,0.0527993
0.021,14995.1,14995.1,339.285,339.285,4.94406,4.94406,-339.285,-339.285,0.0025483,0.0025483,0.0486469,0.0486469,0,0,0,0,19948.1,19948.1,3559.72,3559.72,46.9099,46.9099,-3220.48,-3220.48,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,3220.44,3220.44,720,720,3559.72,3559.72,0.0012,0.0012,3,3,0.0486469,0.0486469
0.022,14995.4,14995.4,316.798,316.798,4.61614,4.61614,-316.798,-316.798,0.00259499,0.00259499,0.0447719,0.0447719,0,0,0,0,19951.6,19951.6,3323.62,3323.62,43.7974,43.7974,-3006.87,-3006.87,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,3006.83,3006.83,720,720,3323.62,3323.62,0.0012,0.0012,3,3,0.0447719,0.0447719
0.023,14995.7,14995.7,295.799,295.799,4.30996,4.30996,-295.799,-295.799,0.00263793,0.00263793,0.0411559,0.0411559,0,0,0,0,19954.8,19954.8,3103.17,3103.17,40.8914,40.8914,-2807.42,-2807.42,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,2807.38,2807.38,720,720,3103.17,3103.17,0.0012,0.0012,3,3,0.0411559,0.0411559
0.024,14996,14996,276.19,276.19,4.02408,4.02408,-276.19,-276.19,0.00267738,0.00267738,0.0377816,0.0377816,0,0,0,0,19957.8,19957.8,2897.34,2897.34,38.1782,38.1782,-2621.19,-2621.19,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,2621.15,2621.15,720,720,2897.34,2897.34,0.0012,0.0012,3,3,0.0377816,0.0377816
0.025,14996.2,14996.2,257.88,257.88,3.75715,3.75715,-257.88,-257.88,0.00271357,0.00271357,0.0346332,0.0346332,0,0,0,0,19960.6,19960.6,2705.15,2705.15,35.6449,35.6449,-2447.3,-2447.3,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,2447.27,2447.27,720,720,2705.15,2705.15,0.0012,0.0012,3,3,0.0346332,0.0346332
0.026,14996.5,14996.5,240.782,240.782,3.50792,3.50792,-240.782,-240.782,0.00274672,0.00274672,0.0316955,0.0316955,0,0,0,0,19963.2,19963.2,2525.7,2525.7,33.2797,33.2797,-2284.95,-2284.95,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,2284.92,2284.92,720,720,2525.7,2525.7,0.0012,0.0012,3,3,0.0316955,0.0316955
0.027,14996.7,14996.7,224.817,224.817,3.27521,3.27521,-224.817,-224.817,0.00277703,0.00277703,0.0289546,0.0289546,0,0,0,0,19965.7,19965.7,2358.15,2358.15,31.0714,31.0714,-2133.36,-2133.36,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,2133.33,2133.33,720,720,2358.15,2358.15,0.0012,0.0012,3,3,0.0289546,0.0289546
0.028,14996.9,14996.9,209.909,209.909,3.05793,3.05793,-209.909,-209.909,0.00280469,0.00280469,0.0263975,0.0263975,0,0,0,0,19967.9,19967.9,2201.71,2201.71,29.0096,29.0096,-1991.83,-1991.83,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1991.8,1991.8,720,720,2201.71,2201.71,0.0012,0.0012,3,3,0.0263975,0.0263975
0.029,14997.1,14997.1,195.989,195.989,2.85506,2.85506,-195.989,-195.989,0.00282988,0.00282988,0.0240119,0.0240119,0,0,0,0,19970.1,19970.1,2055.65,2055.65,27.0846,27.0846,-1859.68,-1859.68,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1859.66,1859.66,720,720,2055.65,2055.65,0.0012,0.0012,3,3,0.0240119,0.0240119
0.03,14997.3,14997.3,182.991,182.991,2.66565,2.66565,-182.991,-182.991,0.00285276,0.00285276,0.0217865,0.0217865,0,0,0,0,19972,19972,1919.27,1919.27,25.2873,25.2873,-1736.3,-1736.3,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1736.28,1736.28,720,720,1919.27,1919.27,0.0012,0.0012,3,3,0.0217865,0.0217865
0.031,14997.5,14997.5,170.855,170.855,2.48879,2.48879,-170.855,-170.855,0.0028735,0.0028735,0.0197107,0.0197107,0,0,0,0,19973.9,19973.9,1791.93,1791.93,23.6093,23.6093,-1621.1,-1621.1,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1621.08,1621.08,720,720,1791.93,1791.93,0.0012,0.0012,3,3,0.0197107,0.0197107
0.032,14997.7,14997.7,159.523,159.523,2.32367,2.32367,-159.523,-159.523,0.00289223,0.00289223,0.0177744,0.0177744,0,0,0,0,19975.6,19975.6,1673.04,1673.04,22.0426,22.0426,-1513.54,-1513.54,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1513.52,1513.52,720,720,1673.04,1673.04,0.0012,0.0012,3,3,0.0177744,0.0177744
0.033,14997.8,14997.8,148.942,148.942,2.1695,2.1695,-148.942,-148.942,0.00290909,0.00290909,0.0159686,0.0159686,0,0,0,0,19977.2,19977.2,1562.04,1562.04,20.5799,20.5799,-1413.11,-1413.11,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1413.1,1413.1,720,720,1562.04,1562.04,0.0012,0.0012,3,3,0.0159686,0.0159686
0.034,14998,14998,139.063,139.063,2.02555,2.02555,-139.063,-139.063,0.00292421,0.00292421,0.0142844,0.0142844,0,0,0,0,19978.8,19978.8,1458.4,1458.4,19.2142,19.2142,-1319.35,-1319.35,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1319.33,1319.33,720,720,1458.4,1458.4,0.0012,0.0012,3,3,0.0142844,0.0142844
0.035,14998.1,14998.1,129.838,129.838,1.89115,1.89115,-129.838,-129.838,0.0029377,0.0029377,0.0127138,0.0127138,0,0,0,0,19980.2,19980.2,1361.63,1361.63,17.9391,17.9391,-1231.81,-1231.81,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,1231.79,1231.79,720,720,1361.63,1361.63,0.0012,0.0012,3,3,0.0127138,0.0127138
